央视,#genre#
CCTV10科教,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=2025100620003374aa4b72395b40b9b5505ad352554a71&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20251006200033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=106.13.250.90&SecurityKey=20251006200033&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=2c551280b7c6aee947a3c6e841114f88&ddCalcu=828cef504541101218408be76cc63aae7e49
CCTV11戏曲,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=20251006200033865f558138f84b318697d22800ce45c5&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20251006200033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=106.13.250.90&SecurityKey=20251006200033&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=8e9e78b7cf148d834f3bc4db5119395b&ddCalcu=b85ee9903e7970181b57bcdf41c4b83df843
CCTV12社会与法,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/51/index.m3u8?msisdn=202510062000339c86f88197d048a7b50155cf3a81624d&mdspid=&spid=699004&netType=0&sid=5501083627&pid=2028597139&timestamp=20251006200033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=106.13.250.90&SecurityKey=20251006200033&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=5dcd1d499a6c81f578e5f10010990a88&ddCalcu=858deac00d39109d0419090a16fc58e18f75
CCTV13新闻,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/2000/index.m3u8?msisdn=20251006200033df8037eea31049e0b93dbb57a40157eb&mdspid=&spid=699004&netType=0&sid=2202208864&pid=2028597139&timestamp=20251006200033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=106.13.250.90&SecurityKey=20251006200033&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=caedba93b46408442cb487c6cbb84d35&ddCalcu=5c3aede04d88b0bab9c36bc4768440b8c424
CCTV14少儿,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?msisdn=202510062000338fcc674880234976af07ed6b586d5f52&mdspid=&spid=699004&netType=0&sid=5500212875&pid=2028597139&timestamp=20251006200033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=106.13.250.90&SecurityKey=20251006200033&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=0c9181e412e0349adc47553ef920dfc6&ddCalcu=60ccef90d14080219ef4e1325e507344c9da
CCTV15音乐,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/51/index.m3u8?msisdn=202510062000337317e6feab10463faa77377a78242dec&mdspid=&spid=699004&netType=0&sid=5501083628&pid=2028597139&timestamp=20251006200033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=106.13.250.90&SecurityKey=20251006200033&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=be26eb86b77fe1afcf1a61d35e6ba3f5&ddCalcu=5bfee320a63be06be8563bd7176fae11facf
CCTV17农业农村,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/51/index.m3u8?msisdn=20251006200033a4883a6a569745f5a8bbf4f24043a635&mdspid=&spid=699004&netType=0&sid=5501083631&pid=2028597139&timestamp=20251006200033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=106.13.250.90&SecurityKey=20251006200033&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=c79b610131dce8a2d08f60199d630cc0&ddCalcu=0cc7ec900b336061d09193110d6cfe880ad2
CCTV4欧洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=20251006200034cd4948ebf08b40bfa5908d8b9c549da7&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=b6ca52e23aba350ea6d658c723cdbb0b&ddCalcu=bb06ebc0ba8d50c23e2273ca8b5a63d560ae
CCTV4美洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/51/index.m3u8?msisdn=20251006200034bfeb59fbef194ced8df8a5f0b96bf7cc&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=fdc3b8246f953926a99d38347d4e2e0c&ddCalcu=cf0deec0238eb048d274463f8935d39992a6
CGTN外语纪录,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/doc/1000/index.m3u8?msisdn=20251006200034834e70acbc074be48b41afb62564d174&mdspid=&spid=699004&netType=0&sid=2200179356&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006487&ParentNodeID=-99&assertID=2200179356&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=2200179356&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=2df5b52632b859c2c0ec0c0e54de7943&ddCalcu=324de9f0759eb0d54256e302cb08c5e90cc2
